datetime,simulationProfile,simulationLevel,simulationInfo,assessmentInfo
20210826T113040,"Foxtrot","ExamHover","",""
time,positionX,positionY,positionZ,attitudeX,attitudeY,attitudeZ,velocityX,velocityY,velocityZ,reference,obstacle,score[]
0.017,4.298,-0.775,1.331,21.215,4.076,8.909,1.081,2.265,0.006,0.801,0,
0.033,4.316,-0.738,1.331,21.255,4.085,8.912,1.081,2.265,0.006,0.760,0,
0.050,4.334,-0.700,1.331,21.295,4.093,8.915,1.081,2.265,0.006,0.719,0,
0.067,4.353,-0.662,1.331,21.335,4.102,8.917,1.081,2.265,0.006,0.678,0,
0.083,4.371,-0.624,1.331,21.375,4.110,8.920,1.081,2.265,0.006,0.638,0,
0.100,4.389,-0.587,1.331,21.416,4.118,8.922,1.081,2.265,0.006,0.597,0,
0.117,4.405,-0.545,1.331,21.457,4.126,8.925,1.081,2.265,0.006,0.554,0,
0.133,4.419,-0.495,1.331,21.500,4.134,8.927,0.979,2.475,0.001,0.501,0,
0.150,4.434,-0.446,1.332,21.543,4.142,8.930,0.874,3.020,0.017,0.451,0,
0.167,4.448,-0.397,1.332,21.586,4.149,8.932,0.868,2.929,0.010,0.401,0,
0.183,4.463,-0.348,1.332,21.629,4.157,8.934,0.868,2.929,0.010,0.350,0,
0.200,4.477,-0.300,1.332,21.672,4.164,8.937,0.868,2.929,0.010,0.301,0,
0.217,4.492,-0.251,1.332,21.714,4.172,8.939,0.868,2.929,0.010,0.251,0,
0.233,4.506,-0.202,1.332,21.757,4.179,8.942,0.868,2.929,0.010,0.202,0,
0.250,4.521,-0.153,1.333,21.800,4.187,8.944,0.868,2.929,0.010,0.155,0,
0.267,4.535,-0.104,1.333,21.843,4.195,8.946,0.868,2.929,0.010,0.110,0,
0.283,4.550,-0.056,1.333,21.886,4.202,8.949,0.868,2.929,0.010,0.075,0,
0.300,4.564,-0.007,1.333,21.929,4.210,8.951,0.868,2.929,0.010,0.065,0,
0.317,4.579,0.042,1.333,21.972,4.217,8.954,0.868,2.929,0.010,0.089,0,
0.333,4.593,0.091,1.333,22.014,4.225,8.956,0.868,2.929,0.010,0.130,0,
0.350,4.608,0.140,1.334,22.057,4.232,8.958,0.868,2.929,0.010,0.176,0,
0.367,4.621,0.193,1.334,22.101,4.236,8.959,0.868,2.929,0.010,0.228,0,
0.383,4.632,0.253,1.334,22.146,4.237,8.959,0.777,3.209,0.009,0.285,0,
0.400,4.643,0.312,1.334,22.191,4.238,8.959,0.665,3.556,0.008,0.343,0,
0.417,4.654,0.371,1.334,22.235,4.238,8.958,0.665,3.556,0.008,0.402,0,
0.433,4.665,0.430,1.334,22.280,4.239,8.958,0.665,3.556,0.008,0.461,0,
0.450,4.676,0.490,1.334,22.325,4.240,8.958,0.665,3.556,0.008,0.520,0,
0.467,4.687,0.549,1.335,22.369,4.240,8.957,0.665,3.556,0.008,0.580,0,
0.483,4.698,0.608,1.335,22.414,4.241,8.957,0.665,3.556,0.008,0.640,0,
0.500,4.709,0.667,1.335,22.459,4.242,8.957,0.665,3.556,0.008,0.699,0,
0.517,4.720,0.727,1.335,22.503,4.242,8.956,0.665,3.556,0.008,0.759,0,
0.533,4.731,0.786,1.335,22.548,4.243,8.956,0.665,3.556,0.008,0.819,0,
0.550,4.742,0.845,1.335,22.593,4.244,8.956,0.665,3.556,0.008,0.879,0,
0.567,4.754,0.904,1.335,22.638,4.244,8.955,0.665,3.556,0.008,0.939,0,
0.583,4.765,0.964,1.336,22.682,4.245,8.955,0.665,3.556,0.008,0.999,0,
0.600,4.776,1.023,1.336,22.727,4.246,8.955,0.665,3.556,0.008,1.059,0,
0.617,4.785,1.087,1.336,22.716,4.243,8.953,0.665,3.556,0.008,1.123,0,
0.633,4.793,1.156,1.336,22.660,4.238,8.951,0.571,3.816,0.007,1.192,0,
0.650,4.800,1.225,1.336,22.604,4.233,8.949,0.454,4.143,0.004,1.261,0,
0.667,4.808,1.294,1.336,22.548,4.228,8.947,0.454,4.143,0.004,1.330,0,
0.683,4.815,1.363,1.336,22.492,4.223,8.945,0.454,4.143,0.004,1.399,0,
0.700,4.823,1.432,1.336,22.436,4.218,8.943,0.454,4.143,0.004,1.468,0,
0.716,4.831,1.501,1.336,22.380,4.213,8.941,0.454,4.143,0.004,1.537,0,
0.733,4.838,1.570,1.336,22.324,4.208,8.939,0.454,4.143,0.004,1.606,0,
0.750,4.846,1.639,1.336,22.267,4.203,8.936,0.454,4.143,0.004,1.675,0,
0.766,4.853,1.708,1.336,22.211,4.198,8.934,0.454,4.143,0.004,1.744,0,
0.783,4.861,1.777,1.337,22.155,4.193,8.932,0.454,4.143,0.004,1.813,0,
0.800,4.868,1.846,1.337,22.099,4.188,8.930,0.454,4.143,0.004,1.882,0,
0.816,4.876,1.915,1.337,22.043,4.183,8.928,0.454,4.143,0.004,1.952,0,
0.833,4.883,1.984,1.337,21.987,4.178,8.926,0.454,4.143,0.004,2.021,0,
0.850,4.891,2.053,1.337,21.931,4.173,8.924,0.454,4.143,0.004,2.090,0,
0.866,4.897,2.126,1.337,21.419,4.165,8.921,0.454,4.143,0.004,2.162,0,
0.883,4.902,2.203,1.337,20.535,4.153,8.916,0.378,4.350,0.007,2.239,0,
0.900,4.907,2.279,1.337,19.650,4.142,8.912,0.283,4.615,0.011,2.316,0,
0.916,4.911,2.356,1.337,18.766,4.131,8.908,0.283,4.615,0.011,2.392,0,
0.933,4.916,2.433,1.338,17.882,4.120,8.904,0.283,4.615,0.011,2.469,0,
0.950,4.921,2.510,1.338,16.997,4.108,8.900,0.283,4.615,0.011,2.545,0,
0.966,4.926,2.587,1.338,16.113,4.097,8.896,0.283,4.615,0.011,2.622,0,
0.983,4.930,2.664,1.338,15.229,4.085,8.893,0.283,4.615,0.011,2.699,0,
1.000,4.935,2.741,1.338,14.344,4.074,8.889,0.283,4.615,0.011,2.775,0,
1.016,4.940,2.818,1.339,13.460,4.062,8.886,0.283,4.615,0.011,2.852,0,
1.033,4.944,2.895,1.339,12.576,4.051,8.883,0.283,4.615,0.011,2.929,0,
1.050,4.949,2.972,1.339,11.691,4.039,8.881,0.283,4.615,0.011,3.005,0,
1.066,4.954,3.049,1.339,10.807,4.027,8.878,0.283,4.615,0.011,3.082,0,
1.083,4.959,3.126,1.339,9.923,4.015,8.876,0.283,4.615,0.011,3.159,0,
1.100,4.963,3.202,1.340,9.038,4.004,8.873,0.283,4.615,0.011,3.236,0,
1.116,4.967,3.279,1.340,8.460,4.342,8.918,0.283,4.615,0.011,3.313,0,
1.133,4.970,3.352,1.340,8.252,5.104,9.019,0.237,4.622,0.008,3.385,0,
1.150,4.973,3.427,1.340,8.045,5.867,9.116,0.165,4.379,-0.005,3.459,0,
1.166,4.975,3.501,1.339,7.840,6.630,9.211,0.163,4.447,-0.003,3.533,0,
1.183,4.978,3.575,1.339,7.635,7.394,9.303,0.162,4.447,-0.003,3.607,0,
1.200,4.981,3.649,1.339,7.431,8.157,9.393,0.163,4.447,-0.003,3.680,0,
1.216,4.984,3.723,1.339,7.228,8.922,9.480,0.163,4.447,-0.003,3.754,0,
1.233,4.986,3.797,1.339,7.026,9.686,9.565,0.163,4.447,-0.003,3.828,0,
1.250,4.989,3.871,1.339,6.824,10.451,9.647,0.163,4.447,-0.003,3.902,0,
1.266,4.992,3.945,1.339,6.623,11.215,9.726,0.162,4.447,-0.003,3.976,0,
1.283,4.994,4.019,1.339,6.423,11.981,9.803,0.163,4.447,-0.003,4.050,0,
1.300,4.997,4.094,1.339,6.223,12.746,9.878,0.163,4.447,-0.003,4.124,0,
1.316,5.000,4.168,1.339,6.023,13.512,9.950,0.163,4.447,-0.003,4.198,0,
1.333,5.002,4.242,1.339,5.824,14.278,10.019,0.163,4.447,-0.003,4.271,0,
1.350,5.005,4.316,1.339,5.625,15.044,10.086,0.162,4.447,-0.003,4.345,0,
1.366,5.006,4.389,1.339,5.493,15.669,10.147,0.163,4.447,-0.003,4.419,0,
1.383,5.001,4.461,1.338,5.434,16.143,10.204,0.070,4.415,-0.009,4.489,0,
1.400,4.995,4.532,1.338,5.374,16.618,10.261,-0.328,4.280,-0.037,4.559,0,
1.416,4.990,4.604,1.337,5.316,17.093,10.317,-0.328,4.280,-0.037,4.630,0,
1.433,4.985,4.675,1.336,5.257,17.568,10.373,-0.328,4.280,-0.037,4.700,0,
1.450,4.979,4.746,1.336,5.199,18.043,10.429,-0.328,4.280,-0.037,4.770,0,
1.466,4.974,4.818,1.335,5.141,18.517,10.484,-0.328,4.280,-0.037,4.841,0,
1.483,4.968,4.889,1.334,5.083,18.992,10.539,-0.328,4.280,-0.037,4.911,0,
1.500,4.963,4.960,1.334,5.026,19.467,10.593,-0.328,4.280,-0.037,4.982,0,
1.516,4.957,5.032,1.333,4.969,19.943,10.647,-0.328,4.280,-0.037,5.052,0,
1.533,4.952,5.103,1.333,4.912,20.418,10.701,-0.328,4.280,-0.037,5.123,0,
1.550,4.946,5.174,1.332,4.856,20.893,10.755,-0.328,4.280,-0.037,5.193,0,
